playerID,assetID,sessionStart,sessionEnd
100474,5442,7/14/20 2:23,7/14/20 2:49
100474,5640,7/14/20 2:50,7/14/20 3:45
100474,5639,7/14/20 3:45,7/14/20 4:48
102284,5878,7/13/20 19:57,7/13/20 20:11
102284,6017,7/13/20 20:12,7/13/20 20:28
102284,5930,7/13/20 20:29,7/13/20 20:33
102284,5971,7/13/20 20:35,7/13/20 20:47
102284,6023,7/13/20 20:49,7/13/20 20:53
102284,6050,7/13/20 20:54,7/13/20 21:09
102284,6051,7/13/20 21:25,7/13/20 21:29
102284,5856,7/13/20 21:34,7/13/20 21:35
102284,6011,7/13/20 21:35,7/13/20 21:38
102284,6047,7/13/20 21:38,7/13/20 21:43
102284,6002,7/13/20 21:45,7/13/20 22:13
10229,5990,7/13/20 16:54,7/13/20 18:12
10229,5931,7/13/20 18:14,7/13/20 18:19
10229,5991,7/13/20 18:21,7/13/20 20:14
10230,6014,7/13/20 16:55,7/13/20 16:57
10230,5979,7/13/20 16:58,7/13/20 17:00
10230,5989,7/13/20 17:00,7/13/20 17:13
10230,5930,7/13/20 17:17,7/13/20 17:19
10230,6032,7/13/20 17:42,7/13/20 17:48
10230,5644,7/13/20 17:48,7/13/20 17:51
10230,5903,7/13/20 17:51,7/13/20 17:52
10230,5642,7/13/20 17:53,7/13/20 18:06
10230,5902,7/13/20 18:05,7/13/20 18:10
10230,5992,7/13/20 18:22,7/13/20 20:14
102788,6030,7/13/20 20:40,7/13/20 21:09
102788,6024,7/13/20 20:51,7/13/20 20:58
105865,6032,7/13/20 20:51,7/13/20 20:55
105865,5642,7/13/20 20:55,7/13/20 21:06
105865,5821,7/13/20 21:06,7/13/20 21:09
10632,6009,7/13/20 21:09,7/13/20 21:13
10632,5852,7/13/20 21:14,7/13/20 21:18
10632,5847,7/13/20 21:19,7/13/20 21:23
10632,6010,7/13/20 21:23,7/13/20 22:57
10634,6010,7/13/20 21:02,7/13/20 22:46
10634,6008,7/13/20 23:23,7/13/20 23:43
10634,5855,7/14/20 0:06,7/14/20 1:03
10634,5856,7/14/20 0:22,7/14/20 0:51
10634,5857,7/14/20 0:25,7/14/20 0:43
10732,6039,7/13/20 19:01,7/13/20 19:04
10732,5990,7/13/20 19:05,7/13/20 19:11
10732,6042,7/13/20 19:14,7/13/20 19:18
10732,5117,7/13/20 19:22,7/13/20 19:32
108208,5439,7/13/20 19:04,7/13/20 19:10
108314,3825,7/14/20 0:25,7/14/20 0:32
108333,5987,7/13/20 19:56,7/13/20 19:58
108333,5644,7/13/20 19:58,7/13/20 20:04
108333,5772,7/13/20 20:05,7/13/20 23:02
108333,6008,7/13/20 20:08,7/13/20 20:09
108333,6009,7/13/20 20:10,7/13/20 21:06
108333,5587,7/13/20 21:09,7/13/20 22:46
108333,5848,7/13/20 21:31,7/13/20 21:44
